timestamp_utc,suite,model,q_count,path_starvation_rate,filtered_to_zero_events,filtered_to_zero_qids,artifact_citations_unknown,missing_paths_from_parquet,schema_issues_total,advice_issues_total,guru_score,guru_issues,guru_failing_qids,run_path
2026-02-11T22:42:56,RSQT_GENERAL_v1_6_explicit,strand-iq4xs:latest,21.0,0.429,17,8,0,0.0,3.0,0.0,18.0,3.0,"R_META_1,R_API_3,R_DOC_UNDOC_1",260211_22:42:56_strand_iq4xs_rsqt_general_v1_6_explicit
2026-02-11T22:50:19,RSQT_GENERAL_5SETS_1_5,strand-iq4xs:latest,4.0,0.25,1,1,0,0.0,2.0,0.0,3.0,1.0,R_META_1,RSQT_GENERAL_5SETS_260211_225019/pack_rust_audit_rsqt_general_set1_v1_0
2026-02-11T22:50:19,RSQT_GENERAL_5SETS_1_5,strand-iq4xs:latest,4.0,0.75,10,3,0,0.0,0.0,0.0,3.0,1.0,R_API_3,RSQT_GENERAL_5SETS_260211_225019/pack_rust_audit_rsqt_general_set2_v1_0
2026-02-11T22:50:19,RSQT_GENERAL_5SETS_1_5,strand-iq4xs:latest,4.0,0.75,2,1,0,0.0,0.0,0.0,4.0,0.0,,RSQT_GENERAL_5SETS_260211_225019/pack_rust_audit_rsqt_general_set3_v1_0
2026-02-11T22:50:19,RSQT_GENERAL_5SETS_1_5,strand-iq4xs:latest,4.0,0.5,3,2,0,0.0,0.0,0.0,4.0,0.0,,RSQT_GENERAL_5SETS_260211_225019/pack_rust_audit_rsqt_general_set4_v1_0
2026-02-11T22:50:19,RSQT_GENERAL_5SETS_1_5,,5.0,0.0,1,1,0,0.0,1.0,0.0,4.0,1.0,R_DOC_UNDOC_1,RSQT_GENERAL_5SETS_260211_225019/pack_rust_audit_rsqt_general_set5_v1_0
2026-02-11T22:51:49,RSQT_GENERAL_v1_6_explicit,strand-iq4xs:latest,21.0,0.429,17,8,0,0.0,3.0,0.0,18.0,3.0,"R_META_1,R_API_3,R_DOC_UNDOC_1",260211_22:51:49_strand_iq4xs_rsqt_general_v1_6_explicit
2026-02-11T22:59:34,RSQT_GENERAL_5SETS_6_10,strand-iq4xs:latest,4.0,0.0,0,0,0,0.0,0.0,0.0,4.0,0.0,,RSQT_GENERAL_5SETS_6_TO_10_260211_225934/pack_rust_audit_rsqt_general_set10_v1_0
2026-02-11T22:59:34,RSQT_GENERAL_5SETS_6_10,strand-iq4xs:latest,4.0,0.25,3,3,0,0.0,3.0,0.0,1.0,3.0,"R_META_1,R_API_3,R_DOC_UNDOC_1",RSQT_GENERAL_5SETS_6_TO_10_260211_225934/pack_rust_audit_rsqt_general_set6_v1_0
2026-02-11T22:59:34,RSQT_GENERAL_5SETS_6_10,strand-iq4xs:latest,5.0,0.6,9,2,0,0.0,0.0,0.0,5.0,0.0,,RSQT_GENERAL_5SETS_6_TO_10_260211_225934/pack_rust_audit_rsqt_general_set7_v1_0
2026-02-11T22:59:34,RSQT_GENERAL_5SETS_6_10,strand-iq4xs:latest,4.0,0.75,1,1,0,0.0,0.0,0.0,4.0,0.0,,RSQT_GENERAL_5SETS_6_TO_10_260211_225934/pack_rust_audit_rsqt_general_set8_v1_0
2026-02-11T22:59:34,RSQT_GENERAL_5SETS_6_10,strand-iq4xs:latest,4.0,0.5,4,2,0,0.0,0.0,0.0,4.0,0.0,,RSQT_GENERAL_5SETS_6_TO_10_260211_225934/pack_rust_audit_rsqt_general_set9_v1_0
2026-02-11T23:13:11,RSQT_GENERAL_5SETS_1_5,strand-iq4xs:latest,4.0,0.25,1,1,0,0.0,2.0,0.0,4.0,0.0,,RSQT_GENERAL_5SETS_260211_231311/pack_rust_audit_rsqt_general_set1_v1_0
2026-02-11T23:13:11,RSQT_GENERAL_5SETS_1_5,strand-iq4xs:latest,4.0,0.75,10,3,0,0.0,2.0,0.0,4.0,0.0,,RSQT_GENERAL_5SETS_260211_231311/pack_rust_audit_rsqt_general_set2_v1_0
2026-02-11T23:13:11,RSQT_GENERAL_5SETS_1_5,strand-iq4xs:latest,4.0,0.75,2,1,0,0.0,0.0,0.0,4.0,0.0,,RSQT_GENERAL_5SETS_260211_231311/pack_rust_audit_rsqt_general_set3_v1_0
2026-02-11T23:13:11,RSQT_GENERAL_5SETS_1_5,strand-iq4xs:latest,4.0,0.5,3,2,0,0.0,0.0,0.0,4.0,0.0,,RSQT_GENERAL_5SETS_260211_231311/pack_rust_audit_rsqt_general_set4_v1_0
2026-02-11T23:13:11,RSQT_GENERAL_5SETS_1_5,,5.0,0.0,1,1,0,0.0,5.0,0.0,5.0,0.0,,RSQT_GENERAL_5SETS_260211_231311/pack_rust_audit_rsqt_general_set5_v1_0
2026-02-11T23:13:45,RSQT_GENERAL_v1_6_explicit,strand-iq4xs:latest,21.0,0.429,17,8,0,0.0,9.0,0.0,21.0,0.0,,260211_23:13:45_strand_iq4xs_rsqt_general_v1_6_explicit
2026-02-11T23:28:09,RSQT_GENERAL_v1_6_explicit,strand-iq4xs:latest,,,1,1,0,,,,,,,260211_23:28:09_strand_iq4xs_rsqt_general_v1_6_explicit
2026-02-11T23:28:12,RSQT_GENERAL_5SETS_1_5,strand-iq4xs:latest,,,1,1,0,,,,,,,RSQT_GENERAL_5SETS_260211_232812/pack_rust_audit_rsqt_general_set1_v1_0
2026-02-11T23:28:16,RSQT_GENERAL_5SETS_6_10,strand-iq4xs:latest,,,3,3,0,,,,,,,RSQT_GENERAL_5SETS_6_TO_10_260211_232816/pack_rust_audit_rsqt_general_set6_v1_0
2026-02-11T23:42:52,RSQT_GENERAL_5SETS_1_5,strand-iq4xs:latest,4.0,0.25,1,1,0,0.0,2.0,0.0,4.0,0.0,,RSQT_GENERAL_5SETS_260211_234252/pack_rust_audit_rsqt_general_set1_v1_0
2026-02-11T23:42:52,RSQT_GENERAL_5SETS_1_5,strand-iq4xs:latest,4.0,0.75,10,3,0,0.0,2.0,0.0,4.0,0.0,,RSQT_GENERAL_5SETS_260211_234252/pack_rust_audit_rsqt_general_set2_v1_0
2026-02-11T23:42:52,RSQT_GENERAL_5SETS_1_5,strand-iq4xs:latest,4.0,0.75,2,1,0,0.0,0.0,0.0,4.0,0.0,,RSQT_GENERAL_5SETS_260211_234252/pack_rust_audit_rsqt_general_set3_v1_0
2026-02-11T23:42:52,RSQT_GENERAL_5SETS_1_5,strand-iq4xs:latest,4.0,0.5,3,2,0,0.0,0.0,0.0,4.0,0.0,,RSQT_GENERAL_5SETS_260211_234252/pack_rust_audit_rsqt_general_set4_v1_0
2026-02-11T23:42:52,RSQT_GENERAL_5SETS_1_5,strand-iq4xs:latest,5.0,0.0,1,1,0,0.0,5.0,0.0,5.0,0.0,,RSQT_GENERAL_5SETS_260211_234252/pack_rust_audit_rsqt_general_set5_v1_0
2026-02-11T23:44:09,RSQT_GENERAL_5SETS_6_10,strand-iq4xs:latest,4.0,0.0,0,0,0,0.0,2.0,0.0,4.0,0.0,,RSQT_GENERAL_5SETS_6_TO_10_260211_234409/pack_rust_audit_rsqt_general_set10_v1_0
2026-02-11T23:44:09,RSQT_GENERAL_5SETS_6_10,strand-iq4xs:latest,4.0,0.25,3,3,0,0.0,7.0,0.0,4.0,0.0,,RSQT_GENERAL_5SETS_6_TO_10_260211_234409/pack_rust_audit_rsqt_general_set6_v1_0
2026-02-11T23:44:09,RSQT_GENERAL_5SETS_6_10,strand-iq4xs:latest,5.0,0.6,9,2,0,0.0,3.0,0.0,5.0,0.0,,RSQT_GENERAL_5SETS_6_TO_10_260211_234409/pack_rust_audit_rsqt_general_set7_v1_0
2026-02-11T23:44:09,RSQT_GENERAL_5SETS_6_10,strand-iq4xs:latest,4.0,0.75,1,1,0,0.0,2.0,0.0,4.0,0.0,,RSQT_GENERAL_5SETS_6_TO_10_260211_234409/pack_rust_audit_rsqt_general_set8_v1_0
2026-02-11T23:44:09,RSQT_GENERAL_5SETS_6_10,strand-iq4xs:latest,4.0,0.5,4,2,0,0.0,2.0,0.0,4.0,0.0,,RSQT_GENERAL_5SETS_6_TO_10_260211_234409/pack_rust_audit_rsqt_general_set9_v1_0
2026-02-12T00:13:50,RAQT_MISSION_5SETS,strand-iq4xs:latest,3.0,0.0,8,3,0,0.0,0.0,6.0,0.0,3.0,"R_BOUNDARY_1,R_PORTS_1,R_TRAIT_1",RAQT_MISSION_5SETS_260212_001350/pack_rust_audit_raqt_mission_set1_v1_0
2026-02-12T00:13:50,RAQT_MISSION_5SETS,strand-iq4xs:latest,,,3,2,0,,,,,,,RAQT_MISSION_5SETS_260212_001350/pack_rust_audit_raqt_mission_set2_v1_0
2026-02-12T00:14:09,RAQT_MISSION_5SETS,strand-iq4xs:latest,3.0,0.333,5,3,0,0.0,0.0,5.0,0.0,3.0,"R_BOUNDARY_1,R_MISSION_CALLGRAPH_1,R_MISSION_SAFETY_1",RAQT_MISSION_5SETS_6_TO_10_260212_001409/pack_rust_audit_raqt_mission_set6_v1_0
2026-02-12T00:14:09,RAQT_MISSION_5SETS,strand-iq4xs:latest,,,6,2,0,,,,,,,RAQT_MISSION_5SETS_6_TO_10_260212_001409/pack_rust_audit_raqt_mission_set7_v1_0
,MISC_strand_16,strand-iq4xs:latest,4.0,0.0,0,0,0,8.0,2.0,0.0,2.0,2.0,"R_DOC_UNDOC_1,R_DOC_GENERATE_1",strand_16
,OTHER,strand-iq4xs:latest,4.0,,0,0,1,,,,1.0,3.0,"R_DOC_COVERAGE_1,R_DOC_UNDOC_1,R_DOC_GENERATE_1",RSQT_DOCS_4Q
,RAQT_MISSION_PROBE,qwen2_5_14b:latest,3.0,,1,1,0,,,,2.0,1.0,R_MISSION_SAFETY_1,RAQT_MISSION_PROBE_qwen25
,RAQT_MISSION_PROBE,qwen2_5_14b:latest,3.0,,1,1,0,,,,3.0,0.0,,RAQT_MISSION_PROBE_qwen25_hardened
,RAQT_MISSION_PROBE,qwen3:latest,3.0,,1,1,0,,,,3.0,0.0,,RAQT_MISSION_PROBE_qwen3
,RAQT_MISSION_PROBE,,,,0,0,0,,,,,,,RAQT_MISSION_PROBE_strand
,RAQT_MISSION_PROBE,strand-iq4xs:latest,3.0,,1,1,0,,,,3.0,0.0,,RAQT_MISSION_PROBE_strand_clean
,RAQT_MISSION_SINGLE,strand-iq4xs:latest,8.0,,0,0,0,,,,6.0,2.0,"R_PORTS_1,R_MISSION_SAFETY_1",RAQT_MISSION_12_strand_opt
,RAQT_MISSION_SINGLE,strand-iq4xs:latest,8.0,,0,0,0,,,,6.0,2.0,"R_PORTS_1,R_MISSION_SAFETY_1",RAQT_MISSION_13_strand_opt
,RAQT_MISSION_SINGLE,qwen3:latest,8.0,,1,1,0,,,,8.0,0.0,,RAQT_MISSION_14_qwen3_latest
,RAQT_MISSION_SINGLE,strand-iq4xs:latest,8.0,,1,1,0,,,,8.0,0.0,,RAQT_MISSION_14_strand_opt
,RAQT_MISSION_SINGLE,qwen3:latest,8.0,,1,1,0,,,,7.0,1.0,R_MISSION_RAG_1,RAQT_MISSION_15_strand_opt
,RAQT_MISSION_SINGLE,strand-iq4xs:latest,8.0,,1,1,0,,,,1.0,7.0,"R_BOUNDARY_1,R_TRAIT_1,R_MISSION_RUNTIME_1,R_MISSION_CALLGRAPH_1,R_MISSION_SAFETY_1,R_MISSION_RAG_1,R_MISSION_REFACTOR_PLAN_1",RAQT_MISSION_16_strand_opt
,RAQT_MISSION_SINGLE,strand-iq4xs:latest,,,17,6,0,,,,,,,RAQT_MISSION_17_strand_opt
,RAQT_MISSION_SINGLE,strand-iq4xs:latest,8.0,0.375,21,7,0,6.0,0.0,24.0,1.0,7.0,"R_BOUNDARY_1,R_PORTS_1,R_TRAIT_1,R_MISSION_CALLGRAPH_1,R_MISSION_SAFETY_1,R_MISSION_RAG_1,R_MISSION_REFACTOR_PLAN_1",RAQT_MISSION_18_strand_opt
,RSQT_GENERAL_v1_11,strand-iq4xs:latest,21.0,0.429,17,8,0,8.0,3.0,0.0,18.0,3.0,"R_META_1,R_API_3,R_DOC_UNDOC_1",RSQT_GENERAL_v1_11
